id,title,rating,uri,年份,地区,类型,主演
36707354,永恒站,7.2,douban://douban.com/movie/36707354,2025,美国,剧情,大卫·费恩
36707354,永恒站,7.2,douban://douban.com/movie/36707354,2025,美国,喜剧,大卫·费恩
36707354,永恒站,7.2,douban://douban.com/movie/36707354,2025,美国,爱情,大卫·费恩
36707354,永恒站,7.2,douban://douban.com/movie/36707354,2025,美国,奇幻,大卫·费恩
36860441,妥瑞氏与我,8.3,douban://douban.com/movie/36860441,2025,英国,剧情,柯克·琼斯
36860441,妥瑞氏与我,8.3,douban://douban.com/movie/36860441,2025,英国,传记,柯克·琼斯
36860441,妥瑞氏与我,8.3,douban://douban.com/movie/36860441,2025,英国,历史,柯克·琼斯
37039108,地母,7.1,douban://douban.com/movie/37039108,2025,马来西亚 意大利 中国香港,剧情,张吉安
36977669,东北警察故事3,7.4,douban://douban.com/movie/36977669,2026,中国大陆,喜剧,杨秉佳
36977669,东北警察故事3,7.4,douban://douban.com/movie/36977669,2026,中国大陆,动作,杨秉佳
36977669,东北警察故事3,7.4,douban://douban.com/movie/36977669,2026,中国大陆,犯罪,杨秉佳
36175206,魔法坏女巫2,5.6,douban://douban.com/movie/36175206,2025,美国 加拿大 澳大利亚,剧情,朱浩伟
36175206,魔法坏女巫2,5.6,douban://douban.com/movie/36175206,2025,美国 加拿大 澳大利亚,爱情,朱浩伟
36175206,魔法坏女巫2,5.6,douban://douban.com/movie/36175206,2025,美国 加拿大 澳大利亚,歌舞,朱浩伟
36175206,魔法坏女巫2,5.6,douban://douban.com/movie/36175206,2025,美国 加拿大 澳大利亚,奇幻,朱浩伟
36766190,国宝,7.7,douban://douban.com/movie/36766190,2025,日本,剧情,李相日
37107063,震耳欲聋,7.4,douban://douban.com/movie/37107063,2025,中国大陆,剧情,万力
37107063,震耳欲聋,7.4,douban://douban.com/movie/37107063,2025,中国大陆,犯罪,万力
36829507,坏蛋联盟2,7.6,douban://douban.com/movie/36829507,2025,美国,喜剧,皮埃尔·佩里费尔  J·P·桑斯
36829507,坏蛋联盟2,7.6,douban://douban.com/movie/36829507,2025,美国,动作,皮埃尔·佩里费尔  J·P·桑斯
36829507,坏蛋联盟2,7.6,douban://douban.com/movie/36829507,2025,美国,动画,皮埃尔·佩里费尔  J·P·桑斯
36829507,坏蛋联盟2,7.6,douban://douban.com/movie/36829507,2025,美国,悬疑,皮埃尔·佩里费尔  J·P·桑斯
36829507,坏蛋联盟2,7.6,douban://douban.com/movie/36829507,2025,美国,犯罪,皮埃尔·佩里费尔  J·P·桑斯
36829507,坏蛋联盟2,7.6,douban://douban.com/movie/36829507,2025,美国,冒险,皮埃尔·佩里费尔  J·P·桑斯
36877209,镜的第三乐章,7.4,douban://douban.com/movie/36877209,2025,德国,剧情,克里斯蒂安·佩措尔德
36821452,尼诺,7.2,douban://douban.com/movie/36821452,2025,法国,剧情,波利娜·洛克
35183324,花漾少女杀人事件,7.1,douban://douban.com/movie/35183324,2025,中国大陆,剧情,周璟豪
35183324,花漾少女杀人事件,7.1,douban://douban.com/movie/35183324,2025,中国大陆,悬疑,周璟豪
26900149,如何大赚一笔,5.9,douban://douban.com/movie/26900149,2026,英国 法国,剧情,约翰·巴顿·福特
26900149,如何大赚一笔,5.9,douban://douban.com/movie/26900149,2026,英国 法国,喜剧,约翰·巴顿·福特
26900149,如何大赚一笔,5.9,douban://douban.com/movie/26900149,2026,英国 法国,惊悚,约翰·巴顿·福特
37071133,菜肉馄饨,7.2,douban://douban.com/movie/37071133,2025,中国大陆,剧情,吴天戈
37071133,菜肉馄饨,7.2,douban://douban.com/movie/37071133,2025,中国大陆,喜剧,吴天戈
37071133,菜肉馄饨,7.2,douban://douban.com/movie/37071133,2025,中国大陆,爱情,吴天戈
36474027,镖人：风起大漠,7.5,douban://douban.com/movie/36474027,2026,中国大陆,动作,袁和平
36474027,镖人：风起大漠,7.5,douban://douban.com/movie/36474027,2026,中国大陆,武侠,袁和平
36474027,镖人：风起大漠,7.5,douban://douban.com/movie/36474027,2026,中国大陆,古装,袁和平
35416174,狂野时代,6.5,douban://douban.com/movie/35416174,2025,中国大陆 法国,剧情,毕赣
35416174,狂野时代,6.5,douban://douban.com/movie/35416174,2025,中国大陆 法国,科幻,毕赣
37231952,父影之下,7.5,douban://douban.com/movie/37231952,2025,英国 尼日利亚 爱尔兰,剧情,阿基诺拉·戴维斯
36850893,惊变28年2：白骨圣殿,6.5,douban://douban.com/movie/36850893,2026,英国 美国 加拿大,科幻,尼娅·达科斯塔
36850893,惊变28年2：白骨圣殿,6.5,douban://douban.com/movie/36850893,2026,英国 美国 加拿大,惊悚,尼娅·达科斯塔
36850893,惊变28年2：白骨圣殿,6.5,douban://douban.com/movie/36850893,2026,英国 美国 加拿大,恐怖,尼娅·达科斯塔
36553324,趣塔德庄园,7.2,douban://douban.com/movie/36553324,2025,英国,喜剧,吉姆·奥汉龙
35461578,用武之地,7.2,douban://douban.com/movie/35461578,2025,中国大陆,剧情,申奥
35461578,用武之地,7.2,douban://douban.com/movie/35461578,2025,中国大陆,动作,申奥
35461578,用武之地,7.2,douban://douban.com/movie/35461578,2025,中国大陆,战争,申奥
