id,title,rating,uri,card_subtitle
36901008,洛杉矶劫案,6.6,douban://douban.com/movie/36901008,2026 / 美国 英国 / 剧情 动作 犯罪 / 巴特·雷顿 / 克里斯·海姆斯沃斯 马克·鲁法洛
36909418,凶降喜讯,7.7,douban://douban.com/movie/36909418,2025 / 韩国 / 喜剧 惊悚 犯罪 / 卞成贤 / 薛景求 红炅
35419153,利刃出鞘3,7.6,douban://douban.com/movie/35419153,2025 / 美国 / 剧情 喜剧 悬疑 惊悚 犯罪 / 莱恩·约翰逊 / 丹尼尔·克雷格 乔什·奥康纳
36207047,诗人,8.1,douban://douban.com/movie/36207047,2025 / 哥伦比亚 德国 瑞典 / 剧情 喜剧 / 西蒙·梅萨·索托 / 乌贝马尔·里奥斯 蕾韦卡·安德拉德
36767956,你行！你上！,6.7,douban://douban.com/movie/36767956,2025 / 中国大陆 / 剧情 喜剧 / 姜文 / 姜文 马丽
36238726,索命舞娘,6.4,douban://douban.com/movie/36238726,2026 / 英国 美国 匈牙利 / 动作 惊悚 恐怖 / 维姬·朱森 / 麦迪·齐格勒 拉娜·康多
35358792,马腾你别走,7.0,douban://douban.com/movie/35358792,2025 / 中国大陆 / 剧情 喜剧 / 岳洋 / 林更新 李幼斌
35930441,后来的我们,7.3,douban://douban.com/movie/35930441,2025 / 韩国 / 剧情 爱情 / 金度英 / 具教焕 文佳煐
37178027,8号出口,6.3,douban://douban.com/movie/37178027,2025 / 日本 / 恐怖 冒险 / 川村元气 / 二宫和也 河内大和
37202778,桑格豪森的渴望,7.4,douban://douban.com/movie/37202778,2025 / 德国 / 剧情 喜剧 / 尤利安·拉德迈耶 / 克拉拉·施温宁 马瑞尔·凯沙瓦茨
36899331,危情蜻蜓,7.4,douban://douban.com/movie/36899331,2025 / 英国 / 剧情 惊悚 / 保罗·安德鲁·威廉姆斯 / 安德丽娅·赖斯伯勒 布兰达·布莱斯
36749573,极限审判,7.2,douban://douban.com/movie/36749573,2026 / 美国 / 动作 科幻 悬疑 / 提莫·贝克曼贝托夫 / 克里斯·帕拉特 丽贝卡·弗格森
37106646,保护者,6.2,douban://douban.com/movie/37106646,2025 / 美国 / 动作 惊悚 / 阿德里安·格鲁伯格 / 米拉·乔沃维奇 马修·莫迪恩
5348089,阿凡达：火与烬,7.6,douban://douban.com/movie/5348089,2025 / 美国 / 动作 科幻 惊悚 奇幻 冒险 / 詹姆斯·卡梅隆 / 萨姆·沃辛顿 佐伊·索尔达娜
36919136,爱的证明,8.1,douban://douban.com/movie/36919136,2025 / 法国 / 剧情 喜剧 同性 / 艾丽斯·杜阿尔 / 艾拉·朗夫 莫妮亚·乔柯里
35689244,F1：狂飙飞车,8.7,douban://douban.com/movie/35689244,2025 / 美国 / 剧情 动作 运动 / 约瑟夫·科辛斯基 / 布拉德·皮特 戴姆森·伊德瑞斯
